incident_id,date,time,crime_category,area,district,latitude,longitude,location_type,description
SYN-2024-01482,2024-06-23,17:42:46,Assault,Downtown Central,District 1,37.772321,-122.413317,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-03441,2024-06-24,06:18:08,Theft / Larceny,Mission Commercial,District 3,37.755028,-122.426356,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
SYN-2024-02023,2024-06-24,09:41:19,Motor Vehicle Theft,Mission Commercial,District 3,37.759964,-122.424315,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-02090,2024-06-24,19:25:25,Robbery,Downtown Central,District 1,37.779151,-122.414577,Parking Facility,Reported Robbery at Parking Facility
SYN-2024-01365,2024-06-24,19:52:24,Robbery,Downtown Central,District 1,37.778202,-122.430292,Parking Facility,Reported Robbery at Parking Facility
SYN-2024-03318,2024-06-25,09:13:45,Public Disorder,Downtown Central,District 1,37.780158,-122.419579,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-02047,2024-06-25,09:48:16,Burglary,Waterfront Marina,District 2,37.803269,-122.434707,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-03617,2024-06-25,10:48:55,Public Disorder,Downtown Central,District 1,37.775728,-122.422867,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-01663,2024-06-25,11:42:23,Vandalism,Downtown Central,District 1,37.784312,-122.422051,Residential Apartment,Reported Vandalism at Residential Apartment
SYN-2024-03748,2024-06-25,14:30:04,Public Disorder,Downtown Central,District 1,37.789756,-122.407474,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-04040,2024-06-25,17:23:47,Motor Vehicle Theft,Mission Commercial,District 3,37.760412,-122.420702,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-02836,2024-06-25,17:56:30,Assault,Mission Commercial,District 3,37.75643,-122.423813,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-02104,2024-06-25,22:51:16,Public Disorder,Waterfront Marina,District 2,37.796192,-122.441397,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-01574,2024-06-25,22:58:39,Vandalism,Downtown Central,District 1,37.778072,-122.425554,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-03655,2024-06-26,10:40:21,Motor Vehicle Theft,South Rail Corridor,District 4,37.74172,-122.39174,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-02380,2024-06-26,16:14:21,Theft / Larceny,Westside Arts,District 5,37.780667,-122.437108,Park / Public Space,Reported Theft / Larceny at Park / Public Space
SYN-2024-00293,2024-06-26,17:51:47,Fraud,Westside Arts,District 5,37.77222,-122.431258,Street / Sidewalk,Reported Fraud at Street / Sidewalk
SYN-2024-00984,2024-06-26,18:20:51,Burglary,Mission Commercial,District 3,37.757692,-122.417661,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-00729,2024-06-26,21:45:31,Burglary,Waterfront Marina,District 2,37.808321,-122.44206,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-04351,2024-06-26,23:18:36,Burglary,Westside Arts,District 5,37.776162,-122.435984,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-04133,2024-06-27,09:19:52,Theft / Larceny,Mission Commercial,District 3,37.761838,-122.424683,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-03768,2024-06-27,09:50:52,Public Disorder,Downtown Central,District 1,37.782757,-122.409666,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-03760,2024-06-27,12:31:35,Burglary,Westside Arts,District 5,37.777257,-122.446136,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-00752,2024-06-27,16:11:12,Public Disorder,Downtown Central,District 1,37.790971,-122.429686,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-01537,2024-06-27,16:20:36,Burglary,Mission Commercial,District 3,37.754086,-122.420293,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-00298,2024-06-27,16:56:59,Motor Vehicle Theft,Westside Arts,District 5,37.774698,-122.437992,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-02617,2024-06-27,16:59:48,Burglary,Downtown Central,District 1,37.778885,-122.416313,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-03947,2024-06-27,17:56:27,Assault,Mission Commercial,District 3,37.799753,-122.388102,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-02252,2024-06-27,18:37:22,Motor Vehicle Theft,Downtown Central,District 1,37.781399,-122.419654,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-02426,2024-06-28,10:15:16,Assault,Downtown Central,District 1,37.77259,-122.415633,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-01655,2024-06-28,12:07:42,Motor Vehicle Theft,Mission Commercial,District 3,37.755674,-122.413905,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-03529,2024-06-28,12:56:29,Fraud,Downtown Central,District 1,37.768982,-122.411008,Transit Station,Reported Fraud at Transit Station
SYN-2024-02220,2024-06-28,13:47:23,Assault,Downtown Central,District 1,37.779082,-122.411888,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-00202,2024-06-28,14:31:03,Fraud,South Rail Corridor,District 4,37.746568,-122.386722,Bar / Restaurant,Reported Fraud at Bar / Restaurant
SYN-2024-00187,2024-06-28,17:25:52,Vandalism,Mission Commercial,District 3,37.760877,-122.41698,Bar / Restaurant,Reported Vandalism at Bar / Restaurant
SYN-2024-01573,2024-06-28,18:12:28,Fraud,Waterfront Marina,District 2,37.805493,-122.43875,Parking Facility,Reported Fraud at Parking Facility
SYN-2024-00881,2024-06-29,00:42:55,Vandalism,Waterfront Marina,District 2,37.797974,-122.446827,Commercial Retail,Reported Vandalism at Commercial Retail
SYN-2024-00571,2024-06-29,01:32:07,Public Disorder,Downtown Central,District 1,37.777532,-122.414162,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-00184,2024-06-29,01:53:25,Vandalism,Waterfront Marina,District 2,37.807691,-122.436668,Transit Station,Reported Vandalism at Transit Station
SYN-2024-04119,2024-06-29,10:40:46,Robbery,Downtown Central,District 1,37.779848,-122.414674,Transit Station,Reported Robbery at Transit Station
SYN-2024-03150,2024-06-29,11:47:33,Burglary,Waterfront Marina,District 2,37.799815,-122.438088,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-00929,2024-06-29,13:35:38,Vandalism,Downtown Central,District 1,37.777061,-122.42177,Transit Station,Reported Vandalism at Transit Station
SYN-2024-01376,2024-06-29,15:27:57,Theft / Larceny,Downtown Central,District 1,37.786314,-122.413154,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-03513,2024-06-29,21:08:20,Robbery,Downtown Central,District 1,37.773675,-122.419247,Street / Sidewalk,Reported Robbery at Street / Sidewalk
SYN-2024-04380,2024-06-30,02:34:15,Public Disorder,Waterfront Marina,District 2,37.806312,-122.435327,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-03194,2024-06-30,09:18:40,Assault,Downtown Central,District 1,37.785341,-122.415304,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-01842,2024-06-30,16:32:58,Narcotics,South Rail Corridor,District 4,37.747058,-122.387407,Alleyway,Reported Narcotics at Alleyway
SYN-2024-01235,2024-06-30,19:28:01,Robbery,Westside Arts,District 5,37.773871,-122.432233,Commercial Retail,Reported Robbery at Commercial Retail
SYN-2024-00033,2024-06-30,21:01:11,Public Disorder,Westside Arts,District 5,37.776056,-122.437632,,Reported Public Disorder at Park / Public Space
SYN-2024-00299,2024-06-30,22:36:25,Burglary,Waterfront Marina,District 2,37.812131,-122.442484,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-01097,2024-06-30,23:16:44,Public Disorder,Mission Commercial,District 3,37.760682,-122.423819,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-03417,2024-06-30,23:26:13,Assault,Mission Commercial,District 3,37.760781,-122.415272,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-00012,2024-07-01,15:06:55,Public Disorder,Westside Arts,District 5,37.778499,-122.429998,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-00012,2024-07-01,15:06:55,Public Disorder,Westside Arts,District 5,37.778499,-122.429998,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-00943,2024-07-01,17:54:02,Assault,Downtown Central,District 1,37.774447,-122.420963,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-00364,2024-07-01,18:20:45,Assault,Downtown Central,District 1,37.786069,-122.419662,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-02461,2024-07-01,19:06:26,Assault,Mission Commercial,District 3,37.758574,-122.41957,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-01130,2024-07-01,19:47:25,Vandalism,Mission Commercial,District 3,37.757151,-122.421049,Residential Apartment,Reported Vandalism at Residential Apartment
SYN-2024-02482,2024-07-02,06:57:52,Theft / Larceny,Waterfront Marina,District 2,37.800532,-122.433857,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-04403,2024-07-02,09:41:47,Assault,Downtown Central,District 1,37.78076,-122.411662,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-02649,2024-07-02,12:43:05,Theft / Larceny,Downtown Central,District 1,37.778772,-122.41734,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-03881,2024-07-02,15:08:43,Narcotics,Waterfront Marina,District 2,37.798635,-122.434588,Residential Apartment,Reported Narcotics at Residential Apartment
SYN-2024-01377,2024-07-02,16:49:29,Vandalism,Mission Commercial,District 3,37.762735,-122.420242,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-03992,2024-07-02,18:55:48,Vandalism,Waterfront Marina,District 2,37.808341,-122.427926,Bar / Restaurant,Reported Vandalism at Bar / Restaurant
SYN-2024-01837,2024-07-03,02:24:04,Assault,Downtown Central,District 1,37.790194,-122.432829,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-02522,2024-07-03,09:27:58,Theft / Larceny,Downtown Central,District 1,37.77616,-122.423075,Transit Station,Reported Theft / Larceny at Transit Station
SYN-2024-01622,2024-07-03,13:05:19,Theft / Larceny,Mission Commercial,District 3,37.755304,-122.419322,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-01412,2024-07-03,14:49:00,Assault,Westside Arts,District 5,37.779133,-122.434929,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-03888,2024-07-03,14:59:06,Vandalism,Downtown Central,District 1,37.781895,-122.415433,Park / Public Space,Reported Vandalism at Park / Public Space
SYN-2024-00461,2024-07-03,15:42:10,Assault,Mission Commercial,District 3,37.74709,-122.423202,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-03562,2024-07-03,15:42:57,Vandalism,Mission Commercial,District 3,37.782786,-122.380047,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-00884,2024-07-03,17:01:19,Public Disorder,Downtown Central,District 1,37.780017,-122.414529,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-01876,2024-07-04,00:15:13,Burglary,South Rail Corridor,District 4,37.755471,-122.390791,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-00720,2024-07-04,03:24:06,Vandalism,Downtown Central,District 1,37.788604,-122.420693,Park / Public Space,Reported Vandalism at Park / Public Space
SYN-2024-03520,2024-07-04,14:39:47,Theft / Larceny,Waterfront Marina,District 2,37.805596,-122.43268,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-02782,2024-07-04,18:35:34,Theft / Larceny,Downtown Central,District 1,37.777947,-122.410699,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-02852,2024-07-04,20:53:27,Fraud,Westside Arts,District 5,37.771134,-122.436038,Alleyway,Reported Fraud at Alleyway
SYN-2024-00074,2024-07-04,23:27:40,Narcotics,Waterfront Marina,District 2,37.798724,-122.431324,Alleyway,Reported Narcotics at Alleyway
SYN-2024-02157,2024-07-05,07:44:00,Robbery,Downtown Central,District 1,37.780758,-122.413539,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-02575,2024-07-05,10:38:23,Theft / Larceny,Mission Commercial,District 3,37.756559,-122.416345,Transit Station,Reported Theft / Larceny at Transit Station
SYN-2024-03364,2024-07-05,13:17:33,Public Disorder,Downtown Central,District 1,37.78304,-122.40782,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-02172,2024-07-05,14:44:58,Theft / Larceny,Waterfront Marina,District 2,37.808753,-122.438193,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-00401,2024-07-05,15:10:46,Fraud,Westside Arts,District 5,37.773702,-122.433862,Commercial Retail,Reported Fraud at Commercial Retail
SYN-2024-03340,2024-07-06,07:21:27,Theft / Larceny,Mission Commercial,District 3,37.763716,-122.419342,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-01231,2024-07-06,13:45:27,Burglary,Waterfront Marina,District 2,37.80325,-122.433103,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-01359,2024-07-06,19:23:15,Fraud,Mission Commercial,District 3,37.76331,-122.414658,Alleyway,Reported Fraud at Alleyway
SYN-2024-03555,2024-07-06,21:18:26,Burglary,Mission Commercial,District 3,37.762675,-122.423916,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-01773,2024-07-06,22:31:42,Fraud,Waterfront Marina,District 2,37.801768,-122.43254,Transit Station,Reported Fraud at Transit Station
SYN-2024-02669,2024-07-07,13:58:04,Narcotics,Downtown Central,District 1,37.779755,-122.417146,Park / Public Space,Reported Narcotics at Park / Public Space
SYN-2024-02389,2024-07-07,14:32:53,Burglary,Westside Arts,District 5,37.767976,-122.429698,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-02089,2024-07-07,15:17:05,Robbery,Downtown Central,District 1,37.77598,-122.424029,Bar / Restaurant,Reported Robbery at Bar / Restaurant
SYN-2024-02092,2024-07-07,17:21:33,Robbery,Westside Arts,District 5,37.780949,-122.43459,Street / Sidewalk,Reported Robbery at Street / Sidewalk
SYN-2024-01251,2024-07-07,18:04:15,Theft / Larceny,Mission Commercial,District 3,37.760707,-122.424856,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-01411,2024-07-07,19:16:26,Assault,Downtown Central,District 1,37.779409,-122.41048,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-02636,2024-07-07,19:59:28,Theft / Larceny,Downtown Central,District 1,37.781455,-122.41718,Alleyway,Reported Theft / Larceny at Alleyway
SYN-2024-02117,2024-07-07,20:19:17,Theft / Larceny,Waterfront Marina,District 2,37.800997,-122.436958,Street / Sidewalk,Reported Theft / Larceny at Street / Sidewalk
SYN-2024-03703,2024-07-08,08:42:47,Theft / Larceny,Waterfront Marina,District 2,37.803022,-122.426682,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-04012,2024-07-08,13:29:24,Fraud,Westside Arts,District 5,37.778894,-122.440653,Bar / Restaurant,Reported Fraud at Bar / Restaurant
SYN-2024-04331,2024-07-08,17:09:16,Public Disorder,Waterfront Marina,District 2,37.789881,-122.408398,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-00454,2024-07-08,17:23:49,Motor Vehicle Theft,Westside Arts,District 5,37.771542,-122.435864,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-02888,2024-07-08,20:23:31,Assault,Downtown Central,District 1,37.748406,-122.396841,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-04336,2024-07-08,21:08:14,Burglary,Downtown Central,District 1,37.773385,-122.415235,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-01977,2024-07-09,01:45:25,Robbery,Downtown Central,District 1,37.815137,-122.420266,Bar / Restaurant,Reported Robbery at Bar / Restaurant
SYN-2024-02131,2024-07-09,08:41:25,Narcotics,Downtown Central,District 1,37.776472,-122.411008,Parking Facility,Reported Narcotics at Parking Facility
SYN-2024-01375,2024-07-09,12:33:04,Theft / Larceny,Downtown Central,District 1,37.781009,-122.42652,Street / Sidewalk,Reported Theft / Larceny at Street / Sidewalk
SYN-2024-01221,2024-07-09,16:40:36,Narcotics,Waterfront Marina,District 2,37.809885,-122.4379,Transit Station,Reported Narcotics at Transit Station
SYN-2024-03389,2024-07-09,20:03:02,Burglary,Westside Arts,District 5,37.769432,-122.43663,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-02911,2024-07-09,20:20:58,Burglary,Mission Commercial,District 3,37.758323,-122.41627,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-03315,2024-07-09,21:57:30,Vandalism,Westside Arts,District 5,37.774891,-122.431513,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-00142,2024-07-10,06:23:04,Narcotics,South Rail Corridor,District 4,37.741182,-122.390515,Street / Sidewalk,Reported Narcotics at Street / Sidewalk
SYN-2024-00680,2024-07-10,06:38:16,Theft / Larceny,Waterfront Marina,District 2,37.740501,-122.446261,Street / Sidewalk,Reported Theft / Larceny at Street / Sidewalk
SYN-2024-04200,2024-07-10,16:54:00,Fraud,Westside Arts,District 5,37.777924,-122.438151,Alleyway,Reported Fraud at Alleyway
SYN-2024-00397,2024-07-10,17:52:07,Motor Vehicle Theft,Westside Arts,District 5,37.770918,-122.434524,Parking Facility,Reported Motor Vehicle Theft at Parking Facility
SYN-2024-02227,2024-07-10,21:26:24,Theft / Larceny,Mission Commercial,District 3,37.751535,-122.413912,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
SYN-2024-04004,2024-07-10,21:43:39,Motor Vehicle Theft,Mission Commercial,District 3,37.75657,-122.414147,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-01323,2024-07-11,14:00:41,Robbery,Downtown Central,District 1,37.776522,-122.425137,Bar / Restaurant,Reported Robbery at Bar / Restaurant
SYN-2024-01481,2024-07-11,16:04:25,Public Disorder,Downtown Central,District 1,37.773152,-122.412756,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-00609,2024-07-11,16:44:53,Public Disorder,South Rail Corridor,District 4,37.749109,-122.394753,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-01357,2024-07-11,21:08:51,Public Disorder,Waterfront Marina,District 2,37.800701,-122.44243,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-00319,2024-07-11,21:26:47,Assault,Mission Commercial,District 3,37.757657,-122.419225,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-03926,2024-07-11,22:03:20,Vandalism,South Rail Corridor,District 4,37.735807,-122.395871,Commercial Retail,Reported Vandalism at Commercial Retail
SYN-2024-03879,2024-07-12,10:30:22,Assault,Waterfront Marina,District 2,37.79835,-122.437694,Street / Sidewalk,Reported Assault at Street / Sidewalk
SYN-2024-01424,2024-07-12,11:01:58,Vandalism,South Rail Corridor,District 4,37.751683,-122.387634,Commercial Retail,Reported Vandalism at Commercial Retail
SYN-2024-04431,2024-07-12,11:04:14,Vandalism,Waterfront Marina,District 2,37.807018,-122.437138,Park / Public Space,Reported Vandalism at Park / Public Space
SYN-2024-03541,2024-07-12,19:09:11,Burglary,Westside Arts,District 5,37.77441,-122.436883,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-04196,2024-07-12,20:15:48,Theft / Larceny,Downtown Central,District 1,37.781574,-122.412996,Parking Facility,Reported Theft / Larceny at Parking Facility
SYN-2024-01727,2024-07-12,22:06:41,Vandalism,Waterfront Marina,District 2,37.799758,-122.437347,Park / Public Space,Reported Vandalism at Park / Public Space
SYN-2024-04333,2024-07-12,22:17:07,Public Disorder,Mission Commercial,District 3,37.758698,-122.428112,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-03831,2024-07-13,03:31:31,Narcotics,Westside Arts,District 5,37.776026,-122.430422,Street / Sidewalk,Reported Narcotics at Street / Sidewalk
SYN-2024-03410,2024-07-13,03:58:22,Burglary,Westside Arts,District 5,37.770467,-122.435693,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-01288,2024-07-13,09:44:22,Robbery,Mission Commercial,District 3,37.766103,-122.427803,Park / Public Space,Reported Robbery at Park / Public Space
SYN-2024-03200,2024-07-13,11:10:26,Theft / Larceny,Downtown Central,District 1,37.779514,-122.418079,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-02082,2024-07-13,11:38:33,Narcotics,Downtown Central,District 1,37.770726,-122.417658,Residential Apartment,Reported Narcotics at Residential Apartment
SYN-2024-01806,2024-07-13,12:43:53,Theft / Larceny,Mission Commercial,District 3,37.764595,-122.416516,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
SYN-2024-03354,2024-07-13,13:56:13,Vandalism,Mission Commercial,District 3,37.75996,-122.42415,Residential Apartment,Reported Vandalism at Residential Apartment
SYN-2024-04486,2024-07-13,14:01:02,Robbery,Mission Commercial,District 3,37.769317,-122.416119,Transit Station,Reported Robbery at Transit Station
SYN-2024-02596,2024-07-13,15:54:19,Theft / Larceny,Downtown Central,District 1,37.785446,-122.425748,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-02355,2024-07-13,17:04:37,Assault,Downtown Central,District 1,37.775878,-122.413659,Park / Public Space,Reported Assault at Park / Public Space
SYN-2024-03031,2024-07-13,19:45:08,Theft / Larceny,Mission Commercial,District 3,37.757585,-122.410792,Street / Sidewalk,Reported Theft / Larceny at Street / Sidewalk
SYN-2024-01086,2024-07-14,09:47:00,Assault,Downtown Central,District 1,37.757935,-122.452471,Bar / Restaurant,Reported Assault at Bar / Restaurant
SYN-2024-01595,2024-07-14,13:20:34,Vandalism,Mission Commercial,District 3,37.769394,-122.417388,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-00205,2024-07-14,13:38:38,Theft / Larceny,Downtown Central,District 1,37.781946,-122.420159,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-01096,2024-07-14,18:19:03,Public Disorder,Mission Commercial,District 3,37.753486,-122.415091,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-02166,2024-07-14,18:22:40,Public Disorder,Waterfront Marina,District 2,37.801526,-122.440556,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-01172,2024-07-14,19:27:52,Robbery,Downtown Central,District 1,37.785218,-122.413929,Parking Facility,Reported Robbery at Parking Facility
SYN-2024-02829,2024-07-14,21:48:48,Theft / Larceny,South Rail Corridor,District 4,37.743049,-122.385903,Park / Public Space,Reported Theft / Larceny at Park / Public Space
SYN-2024-02485,2024-07-15,00:39:50,Vandalism,Downtown Central,District 1,37.777146,-122.418997,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-04390,2024-07-15,14:17:22,Robbery,Downtown Central,District 1,37.781679,-122.411641,Commercial Retail,Reported Robbery at Commercial Retail
SYN-2024-01122,2024-07-15,23:39:32,Vandalism,Mission Commercial,District 3,37.753333,-122.417854,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-02326,2024-07-16,01:47:15,Vandalism,Mission Commercial,District 3,37.751511,-122.421059,Residential Apartment,Reported Vandalism at Residential Apartment
SYN-2024-02027,2024-07-16,09:10:15,Theft / Larceny,Mission Commercial,District 3,37.761252,-122.422453,Park / Public Space,Reported Theft / Larceny at Park / Public Space
SYN-2024-01460,2024-07-16,09:47:02,Theft / Larceny,Westside Arts,District 5,37.774643,-122.433771,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-01958,2024-07-16,09:59:14,Vandalism,Downtown Central,District 1,37.780153,-122.415196,Street / Sidewalk,Reported Vandalism at Street / Sidewalk
SYN-2024-02914,2024-07-16,11:01:02,Public Disorder,Downtown Central,District 1,37.774078,-122.417587,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-01440,2024-07-16,11:08:25,Vandalism,South Rail Corridor,District 4,37.74025,-122.399851,Transit Station,Reported Vandalism at Transit Station
SYN-2024-02801,2024-07-16,12:01:41,Fraud,Westside Arts,District 5,37.776295,-122.433049,Residential Apartment,Reported Fraud at Residential Apartment
SYN-2024-00376,2024-07-16,12:05:06,Fraud,Downtown Central,District 1,37.78065,-122.41044,Street / Sidewalk,Reported Fraud at Street / Sidewalk
SYN-2024-01803,2024-07-16,18:26:23,Vandalism,Downtown Central,District 1,37.781531,-122.414448,Parking Facility,Reported Vandalism at Parking Facility
SYN-2024-04238,2024-07-16,22:34:03,Theft / Larceny,Mission Commercial,District 3,37.762272,-122.412003,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-00795,2024-07-16,23:13:08,Robbery,Downtown Central,District 1,37.785801,-122.413363,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-00506,2024-07-17,01:40:50,Public Disorder,Downtown Central,District 1,37.77529,-122.414775,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-04296,2024-07-17,08:26:01,Burglary,Mission Commercial,District 3,37.763588,-122.414666,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-03510,2024-07-17,15:02:20,Vandalism,Downtown Central,District 1,37.782244,-122.415324,Residential Apartment,Reported Vandalism at Residential Apartment
SYN-2024-01158,2024-07-17,19:13:19,Vandalism,Mission Commercial,District 3,37.758303,-122.413783,Alleyway,Reported Vandalism at Alleyway
SYN-2024-02817,2024-07-17,19:52:14,Theft / Larceny,Mission Commercial,District 3,37.764932,-122.411487,Commercial Retail,Reported Theft / Larceny at Commercial Retail
SYN-2024-03685,2024-07-17,21:41:26,Fraud,Downtown Central,District 1,37.776119,-122.409697,Bar / Restaurant,Reported Fraud at Bar / Restaurant
SYN-2024-03523,2024-07-18,00:06:32,Public Disorder,Downtown Central,District 1,37.775519,-122.422844,Park / Public Space,Reported Public Disorder at Park / Public Space
SYN-2024-01838,2024-07-18,07:41:34,Theft / Larceny,Waterfront Marina,District 2,37.80387,-122.439519,Transit Station,Reported Theft / Larceny at Transit Station
SYN-2024-03266,2024-07-18,13:14:52,Theft / Larceny,Downtown Central,District 1,37.778441,-122.423732,Residential Apartment,Reported Theft / Larceny at Residential Apartment
SYN-2024-01509,2024-07-18,22:56:12,Public Disorder,Downtown Central,District 1,37.786989,-122.407181,Bar / Restaurant,Reported Public Disorder at Bar / Restaurant
SYN-2024-00831,2024-07-19,00:46:54,Burglary,Mission Commercial,District 3,37.765998,-122.419655,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-02827,2024-07-19,05:33:27,Vandalism,Downtown Central,District 1,37.782211,-122.416786,Bar / Restaurant,Reported Vandalism at Bar / Restaurant
SYN-2024-02601,2024-07-19,09:16:40,Motor Vehicle Theft,Westside Arts,District 5,37.776496,-122.434145,Street / Sidewalk,Reported Motor Vehicle Theft at Street / Sidewalk
SYN-2024-02789,2024-07-19,14:47:04,Robbery,Downtown Central,District 1,37.818955,-122.420333,Residential Apartment,Reported Robbery at Residential Apartment
SYN-2024-03402,2024-07-19,16:04:56,Burglary,Westside Arts,District 5,37.778025,-122.434194,Residential Apartment,Reported Burglary at Residential Apartment
SYN-2024-01013,2024-07-19,20:43:43,Burglary,Westside Arts,District 5,37.771566,-122.433377,Commercial Retail,Reported Burglary at Commercial Retail
SYN-2024-00472,2024-07-19,23:33:15,Public Disorder,Downtown Central,District 1,37.776917,-122.418078,Street / Sidewalk,Reported Public Disorder at Street / Sidewalk
SYN-2024-03116,2024-07-20,07:23:53,Theft / Larceny,Downtown Central,District 1,37.786372,-122.41545,Bar / Restaurant,Reported Theft / Larceny at Bar / Restaurant
